task_name,method,seed,num_episodes,beta,ridge,policy_value,behavior_value,optimal_value,suboptimality_gap,root_action,root_action_count,expected_chosen_count,low_support_mass,action_agreement_mass,chosen_action_q_error,chosen_action_bonus,chosen_feature_novelty,root_true_q,root_q_hat,root_q_value,root_bonus
linear_branching_mdp,greedy,0,10,0.8,1.0,0.7,0.74255,0.95,0.25,1,1.0,2.0,3.0,0.6666666666666666,0.3204800783188905,0.0,0.0,0.7,0.9156898926138713,0.9156898926138713,0.0
linear_branching_mdp,pessimistic,0,10,0.8,1.0,0.7999999999999999,0.74255,0.95,0.15000000000000002,0,9.0,24.0,0.0,0.6666666666666666,-0.14632279952964056,0.5019842674337645,0.5019842674337645,0.7999999999999999,0.18083387047226818,0.0,0.7466052202059063
linear_branching_mdp,support_masked,0,10,0.8,1.0,0.7999999999999999,0.74255,0.95,0.15000000000000002,0,9.0,24.0,0.0,0.6666666666666666,0.16227808870449312,0.0,0.0,0.7999999999999999,0.8638990459497268,0.8638990459497268,0.0
linear_branching_mdp,greedy,1,10,0.8,1.0,0.55,0.74255,0.95,0.3999999999999999,0,9.0,12.0,1.0,0.3333333333333333,0.40825331664321246,0.0,0.0,0.55,0.9948089577226799,0.9948089577226799,0.0
linear_branching_mdp,pessimistic,1,10,0.8,1.0,0.7999999999999999,0.74255,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,-0.23542697215261185,0.5084387862245067,0.5084387862245067,0.7999999999999999,0.09803615045081558,0.0,0.7466052202059063
linear_branching_mdp,support_masked,1,10,0.8,1.0,0.7999999999999999,0.74255,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,0.07389006808221694,0.0,0.0,0.7999999999999999,0.7938562731789237,0.7938562731789237,0.0
linear_branching_mdp,greedy,2,10,0.8,1.0,0.7999999999999999,0.74255,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,-0.23911668454197943,0.0,0.0,0.7999999999999999,0.5678282506736321,0.5678282506736321,0.0
linear_branching_mdp,pessimistic,2,10,0.8,1.0,0.7999999999999999,0.74255,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,-0.45712973326089806,0.5109160801326451,0.5109160801326451,0.7999999999999999,0.0967741935483871,0.0,0.7466052202059063
linear_branching_mdp,support_masked,2,10,0.8,1.0,0.7999999999999999,0.74255,0.95,0.15000000000000002,0,9.0,25.0,0.0,0.6666666666666666,-0.24222540639744206,0.0,0.0,0.7999999999999999,0.5585020851072442,0.5585020851072442,0.0
linear_branching_mdp,greedy,3,10,0.8,1.0,0.7,0.74255,0.95,0.25,1,1.0,4.0,2.0,0.6666666666666666,0.425718343689959,0.0,0.0,0.7,1.1737800151198958,1.1737800151198958,0.0
